timestamp,y_true,yhat,yhat_lo,yhat_hi
2017-01-25 19:00:00+00:00,39214.0,38078.96804718525,32403.564120494346,43754.37197387615
2017-01-25 20:00:00+00:00,38149.0,37359.81011891165,31522.880482466906,43196.73975535639
2017-01-25 21:00:00+00:00,35507.0,34959.597339928914,28965.493109045456,40953.70157081237
2017-01-25 22:00:00+00:00,32115.0,31818.329167756347,25671.067702595807,37965.59063291689
2017-01-25 23:00:00+00:00,29522.0,29218.903494174,22922.209001408173,35515.59798693983
2017-01-26 00:00:00+00:00,27313.0,27007.580987060748,20564.918530161973,33450.24344395952
2017-01-26 01:00:00+00:00,26041.0,25929.813625469716,25419.24656416354,26440.380686775894
2017-01-26 02:00:00+00:00,25476.0,25316.043428699864,24198.624003911882,26433.462853487847
2017-01-26 03:00:00+00:00,25271.0,25107.066508754466,23467.660548758977,26746.472468749955
2017-01-26 04:00:00+00:00,25958.0,25624.89851058561,23540.620839849526,27709.176181321698
2017-01-26 05:00:00+00:00,28740.0,27920.693252246736,25451.28896419165,30390.09754030182
2017-01-26 06:00:00+00:00,33642.0,32110.95115365873,29301.34548542002,34920.556821897444
2017-01-26 07:00:00+00:00,36773.0,34961.724526832535,31845.973046408686,38077.47600725638
2017-01-26 08:00:00+00:00,37957.0,36419.29214794832,33023.75733849004,39814.8269574066
2017-01-26 09:00:00+00:00,38636.0,37385.93369145579,33731.52570521264,41040.34167769895
2017-01-26 10:00:00+00:00,38473.0,37350.91877119826,33454.620520726094,41247.217021670425
2017-01-26 11:00:00+00:00,38122.0,36857.78939007185,32733.6920769233,40981.8867032204
2017-01-26 12:00:00+00:00,37866.0,36694.99828685458,32355.01315704731,41034.983416661846
2017-01-26 13:00:00+00:00,36553.0,35646.77251169022,31101.12941835007,40192.41560503037
2017-01-26 14:00:00+00:00,36146.0,34883.20969920567,30140.81397013188,39625.60542827946
2017-01-26 15:00:00+00:00,36119.0,34563.88145120373,29632.575041870514,39495.18786053694
2017-01-26 16:00:00+00:00,36543.0,34854.52400327359,29741.28072100327,39967.76728554391
2017-01-26 17:00:00+00:00,37885.0,36707.20399796718,31418.278364198937,41996.12963173543
2017-01-26 18:00:00+00:00,39252.0,38255.85696119243,32796.89979345829,43714.81412892658
2017-01-26 19:00:00+00:00,39243.0,38513.398283236165,32889.54791195772,44137.24865451461
2017-01-26 20:00:00+00:00,38144.0,37760.168262794745,31976.123578495986,43544.2129470935
2017-01-26 21:00:00+00:00,35466.0,35396.55628813072,29456.636007732897,41336.47656852854
2017-01-26 22:00:00+00:00,32174.0,32263.990788769603,26172.182107178527,38355.79947036068
2017-01-26 23:00:00+00:00,29537.0,29685.432175636244,23445.431124841834,35925.43322643065
2017-01-27 00:00:00+00:00,27250.0,27472.512470148766,21087.7577209144,33857.26721938313
2017-01-27 01:00:00+00:00,25869.0,25841.89455973222,25334.65049779375,26349.13862167069
2017-01-27 02:00:00+00:00,25236.0,25210.36059871567,24099.776074663998,26320.94512276734
2017-01-27 03:00:00+00:00,24997.0,24987.45201556807,23356.978104484555,26617.925926651584
2017-01-27 04:00:00+00:00,25608.0,25525.15382572355,23451.13759573341,27599.170055713694
2017-01-27 05:00:00+00:00,28248.0,27835.09485918297,25376.90061832846,30293.28910003748
2017-01-27 06:00:00+00:00,33033.0,31984.720406242224,29187.08841236598,34782.35240011846
2017-01-27 07:00:00+00:00,35985.0,34795.92860957196,31692.82184996288,37899.03536918104
2017-01-27 08:00:00+00:00,37267.0,36253.27027292858,32871.000810759826,39635.539735097336
2017-01-27 09:00:00+00:00,37990.0,37253.83204994725,33613.27859568439,40894.385504210106
